vehicle_id,brand,vehicle_year,timestamp,odometer_km,engine_hours,vehicle_speed_kph,engine_temp_c,engine_rpm,oil_pressure_psi,coolant_temp_c,fuel_level_percent,fuel_consumption_lph,engine_load_percent,throttle_position_percent,air_flow_rate_gps,exhaust_gas_temp_c,engine_vibration,brake_pad_wear_mm,brake_fluid_level,brake_temp_c,abs_fault_indicator,brake_pedal_position,wheel_speed_fl_kph,wheel_speed_fr_kph,wheel_speed_rl_kph,wheel_speed_rr_kph,battery_voltage_v,battery_current_a,battery_temp_c,alternator_output_v,battery_charge_percent,battery_health_percent,ambient_temp_c,humidity_percent,gps_latitude,gps_longitude,engine_failure_imminent,brake_issue_imminent,battery_issue_imminent,failure_date,failure_type
VEH0237,Honda,2023,2025-09-27 21:10:00,53644.83,1230.69,142.47,107.62,5491.59,43.47,99.87,45.55,10.79,100.0,49.9,90.63,664.68,2.41,1.93,91.02,67.44,0,10.68,140.58,138.29,140.51,138.19,12.04,-7.16,41.32,14.02,94.5,98.94,23.1,81.08,13.244287,72.746432,0,0,0,2050-01-01 00:00:00,No Failure
VEH0064,Mercedes,2020,2025-03-14 21:37:00,106804.15,2354.24,94.29,107.1,4155.14,64.98,92.51,43.8,10.04,100.0,59.75,84.46,686.94,2.28,2.27,90.62,63.5,0,31.38,87.94,95.84,90.02,95.56,12.61,5.17,42.66,13.82,73.51,86.63,20.98,50.21,18.085892,76.728474,0,0,0,2050-01-01 00:00:00,No Failure
VEH0245,Tata,2025,2025-12-06 06:29:00,20824.1,597.31,90.3,96.91,3297.91,50.31,88.74,57.36,7.18,81.93,54.33,61.86,629.62,1.27,2.04,90.43,65.75,0,67.46,88.85,90.77,96.0,89.76,12.56,21.49,46.99,13.74,96.9,94.13,28.04,31.41,16.736256,81.073569,0,0,0,2050-01-01 00:00:00,No Failure
VEH0061,Toyota,2015,2025-10-09 05:47:00,170639.83,3813.17,61.85,106.53,2414.85,48.78,93.66,78.16,5.31,52.22,21.02,46.59,518.6,2.34,3.8,89.19,59.34,0,16.67,60.33,52.82,59.54,53.04,12.33,20.04,45.05,14.13,80.06,87.1,43.31,36.15,12.382347,74.665602,0,0,0,2050-01-01 00:00:00,No Failure
VEH0172,Audi,2019,2025-11-08 06:02:00,116100.43,2498.69,81.85,96.88,4242.84,51.96,85.14,48.66,8.32,79.6,47.97,77.07,628.34,2.23,3.44,86.99,67.51,0,29.29,84.43,80.08,89.44,87.52,12.38,1.37,41.83,14.34,78.76,97.39,15.74,63.56,18.854033,87.489304,0,0,0,2050-01-01 00:00:00,No Failure
VEH0112,Tata,2022,2025-02-09 04:40:00,82819.02,1702.32,43.6,92.09,1775.49,57.32,84.35,100.0,4.4,49.83,18.5,35.18,484.56,2.04,2.44,90.12,49.94,0,3.38,43.27,43.02,43.86,47.79,12.13,8.19,42.91,14.12,76.45,94.57,24.74,82.43,24.9214,78.845438,0,0,0,2050-01-01 00:00:00,No Failure
VEH0103,Audi,2015,2025-03-11 18:56:00,168399.62,3857.73,22.8,96.43,1356.95,52.9,88.71,21.7,4.14,34.48,41.19,28.87,459.9,1.52,3.37,87.68,52.61,0,23.86,15.54,18.22,17.8,19.15,12.58,-2.86,34.96,13.6,88.34,90.51,11.42,59.07,23.246549,73.633708,0,0,0,2050-01-01 00:00:00,No Failure
VEH0288,Audi,2016,2025-03-08 11:28:00,173053.72,3871.72,87.86,106.99,3452.02,55.23,102.34,91.49,8.82,92.71,79.52,65.49,691.18,2.3,2.61,86.61,73.88,0,34.18,85.41,93.14,86.73,88.57,12.5,-0.61,49.74,14.32,86.65,94.17,26.62,55.83,24.909908,74.361572,0,0,0,2050-01-01 00:00:00,No Failure
VEH0050,Ford,2023,2025-01-04 14:17:00,65637.78,1477.82,54.02,96.83,1837.49,56.92,91.82,62.67,6.04,56.0,37.1,36.83,494.92,1.32,1.82,97.8,42.16,0,18.8,45.67,55.9,53.83,49.36,12.56,-10.87,45.57,14.3,89.93,100.0,36.33,60.61,27.926377,77.53137,0,0,0,2050-01-01 00:00:00,No Failure
VEH0006,Honda,2021,2025-08-07 17:36:00,91262.0,2069.71,67.7,95.49,2818.28,55.17,89.47,44.72,6.19,59.79,39.58,50.37,546.87,1.43,2.44,91.35,49.13,0,19.12,70.68,67.97,71.03,66.82,12.41,-5.85,41.93,13.62,75.67,92.36,14.43,60.68,27.114651,81.681887,0,0,0,2050-01-01 00:00:00,No Failure
VEH0182,Ford,2025,2025-01-30 03:47:00,22727.83,517.76,52.1,99.78,3601.44,70.04,85.37,68.62,6.2,78.67,48.53,67.56,538.47,1.53,2.11,91.08,50.84,0,33.31,53.55,56.68,59.71,52.2,12.82,11.93,36.8,14.48,90.46,100.0,21.18,84.38,14.24172,79.740129,0,0,0,2050-01-01 00:00:00,No Failure
VEH0267,Audi,2021,2025-06-27 22:48:00,81320.42,1895.3,37.6,86.72,1067.45,59.87,84.37,52.84,4.09,35.01,36.98,26.48,410.42,1.46,2.41,88.79,54.5,0,12.49,44.07,32.61,38.49,37.05,12.68,5.83,39.03,14.25,87.35,95.02,13.53,38.52,18.754006,82.287027,0,0,0,2050-01-01 00:00:00,No Failure
VEH0004,Hyundai,2015,2025-12-30 07:53:00,149692.06,3225.11,70.33,101.47,3763.25,44.35,93.92,43.67,7.51,72.23,43.73,64.1,608.83,2.18,3.5,87.95,73.86,0,1.07,61.72,64.27,65.64,68.38,12.36,-10.6,45.86,14.06,76.56,89.28,26.8,70.99,26.274697,87.719779,0,0,0,2050-01-01 00:00:00,No Failure
VEH0189,Hyundai,2022,2025-05-11 17:30:00,64481.82,1307.87,83.58,105.91,3368.95,53.35,86.27,75.06,8.34,78.09,55.82,63.41,601.57,1.4,2.34,92.67,53.73,0,24.23,87.63,84.9,85.04,94.46,12.36,15.13,45.02,13.8,83.68,97.38,15.7,37.46,11.035844,74.923293,0,0,0,2050-01-01 00:00:00,No Failure
VEH0002,Honda,2022,2025-08-25 13:14:00,64967.9,1308.19,66.89,92.48,2654.97,56.84,88.09,60.79,6.95,75.16,60.89,55.5,618.71,2.4,2.8,92.61,67.95,0,31.67,64.95,63.19,66.54,60.24,12.59,17.92,32.64,14.0,81.43,96.28,19.47,66.68,24.689772,76.431264,0,0,0,2050-01-01 00:00:00,No Failure
VEH0053,Ford,2021,2025-07-23 17:42:00,86629.98,1849.48,29.07,98.51,2191.18,57.91,82.27,48.59,5.82,38.74,25.04,44.97,410.28,1.08,2.61,88.66,45.64,0,41.26,28.61,26.64,28.58,26.32,12.63,-7.85,47.36,14.19,91.79,95.38,30.31,87.3,11.984559,85.475933,0,0,0,2050-01-01 00:00:00,No Failure
VEH0089,Hyundai,2019,2025-03-13 18:28:00,111140.39,2522.26,73.65,101.41,3336.95,50.93,86.54,71.17,6.77,71.26,51.26,59.18,600.59,1.84,2.97,94.91,58.74,0,10.99,76.73,72.68,72.98,76.65,12.36,-1.57,46.6,14.04,80.36,92.41,22.91,81.99,24.437072,77.576753,0,0,0,2050-01-01 00:00:00,No Failure
VEH0126,Mercedes,2017,2025-10-26 00:35:00,143780.05,3250.34,80.78,102.48,3478.28,48.29,85.86,56.22,7.42,78.24,67.16,64.71,599.49,2.86,3.1,87.21,61.43,0,41.42,84.43,88.84,78.42,88.75,12.46,10.59,40.95,14.51,67.82,83.46,31.05,55.42,8.602329,74.387784,0,0,0,2050-01-01 00:00:00,No Failure
VEH0085,BMW,2020,2025-11-06 10:07:00,101813.07,2294.98,73.58,92.42,2386.98,60.14,81.62,83.28,6.01,55.39,53.56,46.77,469.27,1.96,2.01,93.81,53.56,0,10.6,76.59,71.47,74.74,76.56,12.63,1.04,42.94,14.3,100.0,100.0,18.79,70.27,18.546807,85.589964,0,0,0,2050-01-01 00:00:00,No Failure
VEH0268,Audi,2016,2025-05-29 22:45:00,170331.17,3559.83,0.0,89.08,600.0,52.71,80.01,21.99,2.89,9.23,17.03,14.32,357.94,1.78,3.61,90.44,47.76,0,23.24,2.44,0.79,8.54,3.58,12.41,30.36,41.14,13.93,76.16,86.95,9.17,71.08,26.311054,76.494691,0,1,0,2025-06-03 06:45:00,Brake
VEH0048,BMW,2022,2025-02-20 22:36:00,44707.99,752.76,21.01,93.42,1365.75,48.22,90.05,28.59,4.25,33.41,25.25,37.5,435.09,1.05,2.24,88.75,48.31,0,17.9,14.12,14.93,12.81,16.87,12.55,31.13,37.81,14.47,100.0,100.0,26.52,86.21,12.31689,75.484313,0,0,0,2050-01-01 00:00:00,No Failure
VEH0053,Toyota,2015,2025-11-30 17:45:00,159318.99,3645.65,47.73,107.02,2388.51,48.07,95.52,16.62,6.59,59.29,33.05,57.69,591.4,1.85,2.96,96.69,63.94,0,13.15,44.49,47.07,46.32,49.19,12.64,-4.57,47.01,13.8,68.37,86.4,46.41,66.93,12.955792,82.916921,0,0,0,2050-01-01 00:00:00,No Failure
VEH0126,Ford,2023,2025-02-12 17:32:00,72783.66,1395.5,52.44,99.81,2120.04,60.24,81.28,60.0,7.21,64.04,44.99,37.7,549.35,1.49,2.43,90.88,61.96,0,47.57,56.13,50.53,57.8,51.07,12.53,15.51,45.94,14.45,85.53,99.46,26.43,74.44,26.12016,85.293989,0,0,0,2050-01-01 00:00:00,No Failure
VEH0055,Honda,2017,2025-10-12 15:49:00,146482.81,3324.29,87.06,108.46,3898.39,59.06,91.21,43.07,7.85,79.83,55.69,67.38,577.53,2.48,3.5,84.49,68.17,0,30.02,93.61,93.53,94.12,83.35,12.57,13.28,38.62,14.32,84.32,96.75,32.57,69.4,17.093178,80.599676,0,0,0,2050-01-01 00:00:00,No Failure
VEH0092,Hyundai,2016,2025-03-22 16:27:00,160425.88,3626.53,20.28,92.14,2292.82,49.66,87.63,75.33,5.42,43.16,40.77,48.37,506.64,1.9,3.26,79.02,51.5,0,14.83,19.73,21.81,23.98,25.8,12.32,-8.56,40.4,14.33,60.73,88.45,24.17,80.19,9.039788,74.320848,0,0,0,2050-01-01 00:00:00,No Failure
VEH0060,Honda,2025,2025-09-11 02:09:00,37292.82,791.28,87.78,99.28,2637.54,57.13,95.5,81.7,7.65,75.02,57.15,53.76,571.66,1.47,1.91,100.85,59.77,0,41.13,90.81,90.77,86.58,87.81,12.75,25.37,37.53,14.33,86.3,99.39,30.14,52.57,8.062101,76.81371,0,0,0,2050-01-01 00:00:00,No Failure
VEH0201,Ford,2025,2025-03-02 00:39:00,1032.38,83.54,53.58,89.13,2414.83,51.38,86.26,28.14,7.02,61.92,53.37,54.09,530.95,1.18,2.12,93.9,55.07,0,23.69,56.23,55.48,63.3,56.4,12.47,35.24,33.59,14.32,82.37,95.08,31.42,81.07,9.399902,78.617115,0,0,0,2050-01-01 00:00:00,No Failure
VEH0267,Audi,2021,2025-04-30 09:58:00,95754.46,2145.22,50.96,96.88,2364.81,65.5,92.99,97.04,7.79,68.17,44.57,41.97,553.24,2.22,2.2,91.62,56.01,0,22.54,56.8,52.26,48.33,53.29,12.58,-4.26,46.64,14.05,83.24,89.26,23.79,25.91,19.288588,87.583581,0,0,0,2050-01-01 00:00:00,No Failure
VEH0183,Hyundai,2019,2025-05-28 21:17:00,100829.18,2304.57,57.73,101.55,2903.95,44.39,92.76,66.53,5.64,67.0,45.17,56.85,566.88,1.62,3.34,90.21,45.85,0,30.91,55.93,60.76,61.18,59.09,12.3,-14.48,49.15,14.18,80.21,88.55,34.53,66.15,23.402066,85.929643,0,0,0,2050-01-01 00:00:00,No Failure
VEH0244,Honda,2024,2025-05-14 19:50:00,34106.61,732.29,23.81,100.27,600.0,51.73,86.77,38.38,3.92,37.74,21.45,30.21,423.14,1.51,2.47,88.36,48.63,0,21.21,24.31,28.25,26.73,28.07,12.09,-23.19,47.62,14.39,80.87,99.12,28.65,65.04,13.418763,72.534191,0,0,0,2050-01-01 00:00:00,No Failure
VEH0118,Tata,2021,2025-06-11 03:44:00,94356.26,2192.86,103.42,101.77,3299.84,57.86,97.19,30.44,7.72,82.52,70.52,67.99,619.41,1.86,2.17,91.2,60.76,0,23.83,102.39,95.86,99.48,96.12,13.09,-13.54,47.23,13.57,70.07,97.89,21.37,79.31,11.05269,74.417082,0,0,0,2050-01-01 00:00:00,No Failure
VEH0210,Honda,2023,2025-05-28 20:51:00,53216.11,1184.3,72.51,103.85,2654.49,55.07,83.1,46.82,5.04,61.38,41.58,48.45,577.88,1.23,2.41,93.72,59.0,0,60.15,73.73,73.38,75.46,71.15,13.08,22.81,43.93,14.45,100.0,99.58,19.95,62.9,24.890775,79.096262,0,0,0,2050-01-01 00:00:00,No Failure
VEH0249,BMW,2019,2025-11-03 03:49:00,111433.43,2490.77,119.68,102.02,5628.91,50.28,103.92,49.78,8.79,100.0,68.95,99.47,725.2,2.08,3.29,88.72,52.13,0,12.54,117.19,120.32,121.44,119.06,12.21,-12.92,45.44,13.98,72.08,89.3,36.43,51.67,8.725015,83.213414,0,1,0,2025-11-04 01:49:00,Brake
VEH0246,Ford,2015,2025-04-09 06:24:00,180016.09,3887.52,0.0,89.49,1339.23,48.03,85.91,34.05,3.98,22.59,8.63,23.28,381.75,2.14,3.6,83.85,46.62,0,56.41,1.17,0.0,0.0,6.55,12.53,44.2,43.93,14.51,71.37,92.91,26.81,100.0,27.003793,87.419531,0,0,1,2025-04-11 07:24:00,Battery
VEH0182,Honda,2016,2025-01-30 16:43:00,184064.34,4258.18,99.0,102.31,3344.4,47.39,87.44,30.58,8.86,90.42,80.87,62.45,694.22,1.52,2.89,86.18,54.05,0,38.34,97.55,93.56,95.42,98.7,12.46,-8.9,45.52,14.38,85.42,95.79,14.19,56.29,10.670904,72.117403,0,0,0,2050-01-01 00:00:00,No Failure
VEH0016,BMW,2021,2025-03-13 21:45:00,51212.81,1146.45,103.77,106.42,4284.37,56.56,96.71,38.35,8.75,99.75,76.04,71.46,689.25,1.72,1.88,91.2,75.29,0,13.57,100.28,98.42,97.86,100.98,12.72,11.9,38.74,14.31,92.1,98.19,22.82,80.41,17.190545,73.96733,0,0,0,2050-01-01 00:00:00,No Failure
VEH0011,Hyundai,2019,2025-09-02 12:20:00,116300.22,2577.18,95.2,106.75,3505.97,59.49,86.21,36.99,7.33,87.85,65.49,66.21,656.82,1.48,1.99,99.37,69.04,0,19.16,92.88,97.68,95.09,96.58,12.61,1.21,43.6,13.69,86.52,97.96,24.87,25.85,26.321041,80.10384,0,0,0,2050-01-01 00:00:00,No Failure
VEH0206,Ford,2023,2025-06-21 04:42:00,69986.64,1573.75,72.45,98.29,2732.34,59.57,90.32,58.96,8.78,75.16,54.49,57.1,578.43,2.09,2.98,98.32,64.48,0,33.12,75.89,74.63,72.76,73.76,12.55,9.17,44.18,13.86,92.33,89.01,25.0,74.75,23.066006,80.788837,0,0,0,2050-01-01 00:00:00,No Failure
VEH0000,Honda,2016,2025-12-18 19:31:00,144585.39,3205.23,82.5,100.93,3143.72,54.68,93.8,9.04,8.45,74.55,55.69,51.76,576.24,2.8,2.92,85.53,69.71,0,8.18,83.85,90.3,81.17,83.5,12.22,8.22,38.86,13.89,76.09,87.08,27.01,49.14,20.344918,77.717016,0,0,1,2025-12-20 12:31:00,Battery
VEH0022,Ford,2024,2025-12-11 00:57:00,50867.13,1112.45,37.88,92.11,1787.12,59.06,88.96,34.48,4.31,33.77,19.97,29.48,394.25,1.8,2.67,92.7,51.68,0,43.79,36.6,35.41,41.52,41.93,12.55,-7.49,43.52,14.37,91.44,100.0,32.15,68.75,9.174814,88.098497,0,0,0,2050-01-01 00:00:00,No Failure
VEH0233,Toyota,2022,2025-07-20 19:03:00,68104.59,1462.1,56.08,101.46,2573.99,59.4,83.71,74.6,7.7,66.17,46.77,46.01,513.98,1.73,3.09,87.81,53.48,0,19.55,55.74,65.19,55.78,55.95,13.08,2.71,45.83,13.74,86.8,96.9,21.93,71.69,13.311255,74.618063,0,0,0,2050-01-01 00:00:00,No Failure
VEH0252,Honda,2015,2025-04-29 10:38:00,143306.77,3139.73,50.23,98.0,2334.15,48.04,93.33,58.74,5.98,58.65,44.6,43.42,555.47,2.46,3.74,87.28,67.01,0,32.47,52.04,53.56,46.05,54.45,12.66,-26.13,40.11,14.22,73.68,89.48,25.72,49.97,19.787291,81.712451,0,0,1,2025-05-06 09:38:00,Battery
VEH0108,Toyota,2025,2025-01-30 16:02:00,19259.73,545.59,97.84,101.84,4540.91,53.39,95.95,44.24,8.96,100.0,65.9,84.39,689.17,2.2,1.75,95.18,61.24,0,37.17,101.46,103.37,99.06,104.01,12.56,32.93,48.24,14.39,84.36,94.8,21.71,56.99,11.53082,84.862218,0,0,0,2050-01-01 00:00:00,No Failure
VEH0163,BMW,2025,2025-02-09 20:37:00,35005.95,752.97,109.3,106.15,4077.21,47.37,97.13,38.95,8.72,97.87,71.6,74.6,654.32,2.6,1.55,94.09,76.71,0,19.48,107.02,115.52,112.14,112.78,12.42,-2.78,35.81,14.47,75.26,88.26,20.41,70.11,27.593053,75.267595,0,0,0,2050-01-01 00:00:00,No Failure
VEH0043,Hyundai,2024,2025-08-12 17:09:00,36220.35,839.21,29.58,95.85,2805.77,52.79,87.42,70.95,5.27,43.52,34.97,48.29,471.35,1.84,2.34,87.28,58.02,0,34.72,26.06,30.69,32.69,30.7,12.14,15.52,47.59,14.18,86.54,98.2,27.17,38.79,17.521264,74.593311,0,0,0,2050-01-01 00:00:00,No Failure
VEH0039,Tata,2017,2025-07-29 08:18:00,134288.17,2979.4,39.13,104.3,3108.11,54.72,87.6,47.39,7.47,59.82,44.14,54.68,562.11,1.31,2.42,94.01,61.15,0,35.21,36.61,44.86,38.83,45.46,12.24,0.04,45.25,14.0,95.09,94.95,35.68,58.34,23.267155,72.549358,0,0,0,2050-01-01 00:00:00,No Failure
VEH0042,Ford,2015,2025-11-21 19:33:00,156819.93,3322.59,79.06,104.45,3424.78,49.36,88.53,74.84,7.35,80.06,73.29,64.91,652.93,2.35,3.31,82.58,71.11,0,15.66,78.2,76.9,74.19,75.5,12.44,28.06,45.67,14.2,84.74,86.74,22.45,68.1,11.302417,87.60221,0,0,0,2050-01-01 00:00:00,No Failure
VEH0045,Mercedes,2020,2025-05-28 03:18:00,98261.07,2266.12,52.15,94.79,2733.47,46.66,85.61,68.52,6.23,59.01,38.42,42.96,545.5,1.92,2.47,84.98,50.51,0,41.67,59.89,52.14,47.74,56.33,12.64,21.36,33.02,14.04,100.0,98.14,13.21,61.68,17.323415,88.214991,0,0,0,2050-01-01 00:00:00,No Failure
VEH0265,Mercedes,2023,2025-06-28 12:03:00,52834.54,1052.2,54.49,91.43,2312.56,48.41,84.2,57.41,5.71,48.41,43.24,38.18,485.43,1.48,2.95,94.0,52.24,0,20.44,61.3,51.71,60.85,55.02,12.4,8.59,34.01,14.06,92.48,95.8,23.35,33.53,26.289824,82.969369,0,1,0,2025-07-05 04:03:00,Brake
VEH0220,Honda,2018,2025-03-21 19:31:00,136936.97,2958.76,92.97,107.63,3849.65,49.18,99.92,19.33,9.64,95.62,60.21,73.64,667.07,2.25,2.84,84.56,66.52,0,30.91,97.4,97.2,92.82,89.96,12.53,21.64,43.43,14.11,75.93,94.58,19.88,80.42,22.429316,85.043925,0,0,0,2050-01-01 00:00:00,No Failure
